PRODUCTO INTERNO BRUTO TRIMESTRAL POR RAMAS DE ACTIVIDAD ECONOMICA;;;;;;;;;;;;;;;;;
A precios Corrientes - Series Sin Desestacionalizar  - III Trimestre de 2017;;;;;;;;;;;;;;;;;
Cifras Revisadas a noviembre 22 de 2017;;;;;;;;;;;;;;;;;
Miles de millones de pesos;;;;;;;;;;;;;;;;;
Fuente : DANE;;;;;;;;;;;;;;;;;
Esta publicación incluye los resultados obtenidos de las cuentas anuales 2014 definitivo y 2015 provisional, con lo cual se ajustan los valores trimestrales.;;;;;;;;;;;;;;;;;
Nota metodológica:  Por la metodología de índices encadenados el valor correspondiente al total del valor agregado y el PIB no corresponde a la sumatoria de sus componentes;;;;;;;;;;;;;;;;;
1. Estos resultados incorporan los cambios asociados a los impuestos que forman parte del cálculo del PIB, con motivo de la expedición de la ley 1819 de 2016;;;;;;;;;;;;;;;;;
P  Cifras Provisionales;;;;;;;;;;;;;;;;;
Pr  Cifras Preliminares;;;;;;;;;;;;;;;;;
Fecha: noviembre 22 de 2017;;;;;;;;;;;;;;;;;
Año;trimestre;Agricultura, ganadería, caza, silvicultura y pesca;Explotación de minas y canteras;Industrias manufactureras;Suministro de electricidad, gas y agua;Construcción;Comercio, reparación, restaurantes y hoteles;Transporte, almacenamiento y comunicaciones;Establecimientos financieros, seguros, actividades inmobiliarias y servicios a las empresas;Actividades de servicios sociales, comunales y personales;Subtotal Valor Agregado;   IVA no deducible;Derechos e impuestos sobre las importaciones;Impuestos excepto IVA;  Subvenciones;Total Impuestos 1;PRODUCTO INTERNO BRUTO
;II;9409;17910;19831;5494;12988;18016;9050;30422;24810;147930;9477;1107;3687;222;14049;161979
;III;9475;17694;20677;5705;12732;18617;9477;30960;25513;150850;9273;1055;3772;279;13821;164671
;IV;9624;18430;21390;5727;16993;20935;9869;33987;30671;167626;9850;1221;4208;365;14914;182540
2013;I;9747;17630;19488;5655;11831;18814;10227;30262;24106;147760;8791;1058;4239;468;13620;161380
;II;10102;17609;20862;5954;14385;19497;10334;32382;27558;158683;8799;1076;4652;572;13955;172638
;III;9928;18608;21447;6038;16497;20385;10936;33321;28263;165423;8695;1070;4812;610;13967;179390
;IV;9973;18426;22218;6072;19991;23241;11265;36513;34108;181807;9513;1288;5048;567;15282;197089
2014;I;10466;17335;20975;5802;14546;20414;11370;32729;26875;160512;9521;1178;4577;429;14847;175359
;II;10595;16488;21155;6125;16352;21087;11341;35278;29986;168407;9768;1204;4907;342;15537;183944
;III;10545;15664;21810;6469;19343;22002;11975;35862;30328;173998;9810;1177;5204;342;15849;189847
;IV;11272;14178;22938;6579;21911;25328;12337;39263;36595;190401;10918;1420;5484;308;17514;207915
2015P;I;11981;12243;20674;6330;14846;22298;12818;35096;28427;164713;10515;1385;4852;286;16466;181179
;II;11216;13828;21676;6680;17657;23022;12557;37445;31963;176044;10317;1358;5587;269;16993;193037
;III;11930;13088;23698;7148;18899;24544;13591;38528;32927;184353;10409;1309;5553;319;16952;201305
;IV;13168;12062;25066;7414;22789;28236;13769;42655;39797;204956;11306;1451;6422;344;18835;223791
2016Pr;I;14167;10033;23020;7499;16424;24870;13750;38204;31045;179012;10877;1290;5635;325;17477;196489
;II;13818;11909;24384;7361;18582;25501;13315;41435;34970;191275;10874;1354;6583;292;18519;209794
;III;13709;11522;25171;7816;21479;26791;14081;42468;35058;198095;10482;1179;5533;351;16843;214938
;IV;14534;13103;26736;7882;24440;30772;14372;47080;42321;221240;12394;1386;6803;369;20214;241454
2017Pr;I;14772;12826;24295;7677;16598;26281;14197;42008;33744;192398;12108;1200;6244;337;19215;211613
;II;14035;12593;24539;7857;18995;26972;13921;44887;37805;201604;12815;1257;7001;314;20759;222363
;III;14478;13201;25675;8183;20995;28245;14582;45451;37829;208639;12745;1119;6029;365;19528;228167
